ID,英文名稱,中文名稱,圖片,備註,更新日期
3630317,"1,2,3-trimethylbenzene","1,2,3-三甲苯",,,2018-12-17
3630318,"1,2,4-trimethylbenzene","1,2,4-三甲苯",,,2018-12-17
3630319,"1,3,5-trimethylbenzene","1,3,5-三甲苯",,,2018-12-17
3630320,"1,4-dioxane","二【口咢】烷；1,4-二氧陸圜{舊譯}",,,2018-12-17
3630321,1-butanol,1-丁醇,,,2018-12-17
3630322,1-chlorobutane,1-氯丁烷,,,2018-12-17
3630323,1-naphthol,1-萘酚,,,2018-12-17
3630324,1-nonanol,1-壬醇,,,2018-12-17
3630325,1-propanol,1-丙醇,,,2018-12-17
3630326,18-crown-6,18-冠-6,,,2018-12-17
3630327,"2,3-dimethylpentanedioic acid","2,3-二甲基戊二酸",,,2018-12-17
3630328,"2,4,6-tribromophenol","2,4,6-三溴苯酚",,,2018-12-17
3630329,"2,4-dimethyl-1-pentanol","2,4-二甲基-1-戊醇",,,2018-12-17
3630330,2-bromopropane,2-溴丙烷,,,2018-12-17
3630331,2-methyl-2-butanol,2-甲基-2-丁醇,,,2018-12-17
3630332,2-methyl-3-pentanone,2-甲基-3-戊酮,,,2018-12-17
3630333,2-propanol,2-丙醇,,,2018-12-17
3630334,3-methyl-2-butanol,3-甲基-2-丁醇,,,2018-12-17
3630335,3-methyl-2-butenoic acid,3-甲基-2-丁烯酸,,,2018-12-17
3630336,3-methylbutanal,3-甲基丁醛,,,2018-12-17
3630337,3-methylbutyramide,3-甲基丁醯胺,,,2018-12-17
3630338,3-methylpentanoic acid,3-甲基戊酸,,,2018-12-17
3630339,4-methyl-2-pentanone,4-甲基-2-戊酮,,,2018-12-17
3630340,absolute alcohol,絕對酒精,,,2018-12-17
3630341,absolute temperature,絕對溫度,,,2018-12-17
3630342,absolute temperature scale,絕對溫標,,,2018-12-17
3630343,absolute zero,絕對零度,,,2018-12-17
3630344,acetamide,乙醯胺,,,2018-12-17
3630345,acetaminophen,乙醯胺酚 {藥名},,,2018-12-17
3630346,acetanilide,乙醯胺苯,,,2018-12-17
3630347,acetic acid,醋酸,,,2018-12-17
3630348,acetic anhydride,乙酐,,,2018-12-17
3630349,acetone,丙酮,,,2018-12-17
3630350,acetyl chloride,乙醯氯,,,2018-12-17
3630351,acetylation,乙醯化,,,2018-12-17
3630352,acetylcholine,乙醯膽鹼　,,,2018-12-17
3630353,acetylsalicylic acid,乙醯柳酸,,,2018-12-17
3630354,acid,酸,,,2018-12-17
3630355,acid anhydride,酸酐　,,,2018-12-17
3630356,acid dissociation constant,酸解離常數,,,2018-12-17
3630357,acid rain,酸雨,,,2018-12-17
3630358,acid salt,酸式鹽,,,2018-12-17
3630359,acid soil,酸性土[壤],,,2018-12-17
3630360,acid-base indicator,酸鹼指示劑,,,2018-12-17
3630361,acid-base neutralization,酸鹼中和,,,2018-12-17
3630362,acid-base reaction,酸鹼反應,,,2018-12-17
3630363,acid-base titration,酸鹼滴定,,,2018-12-17
3630364,acidity,酸度,,,2018-12-17
3630365,actinide elements,錒系元素,,,2018-12-17
3630366,actinides,錒系[元素],,,2018-12-17
3630367,activated carbon,活化碳；活性碳,,,2019-10-28
3630368,activated complex,活化複合體；活化錯合體,,,2018-12-17
3630369,activation energy,活化能,,,2018-12-17
3630370,active carbon,活性碳,,,2018-12-17
3630371,activity series,活性序列,,,2018-12-17
3630372,actomyosin,肌動凝蛋白,,,2018-12-17
3630373,actual yield,實際產量,,,2018-12-17
3630374,acyclic hydrocarbon,非環烴；鏈烴,,,2018-12-17
3630375,acyl halide,醯基鹵化物,,,2018-12-17
3630376,addition polymer,加成聚合物,,,2018-12-17
3630377,addition polymerization,加成聚合[作用],,,2018-12-17
3630378,addition reaction,加成反應,,,2018-12-17
3630379,adenine,腺嘌呤　,,,2018-12-17
3630380,adenosine triphosphate,腺苷三磷酸　,,,2018-12-17
3630381,adhesive,黏合劑；黏著劑,,,2018-12-17
3630382,aeration,曝氣,,,2018-12-17
3630383,alanine,丙胺酸　,,,2018-12-17
3630384,alchemy,煉金術；煉丹術,,,2019-10-28
3630385,alcohols,醇類,,,2018-12-17
3630386,aldehydes,醛類,,,2018-12-17
3630387,alicyclic hydrocarbon,脂環烴,,,2018-12-17
3630388,aliphatic hydrocarbon,脂族烴,,,2018-12-17
3630389,alizarin yellow R,茜素黃R　,,,2018-12-17
3630390,alkali,鹼,,,2018-12-17
3630391,alkali metal,鹼金屬,,,2018-12-17
3630392,alkali metal group,鹼金屬族,,,2018-12-17
3630393,alkali-chlorine cell,鹼氯電解槽,,,2018-12-17
3630394,alkali-chlorine industry,鹼氯工業　,,,2018-12-17
3630395,alkaline cell,鹼性電池　,,,2018-12-17
3630396,alkaline earth metal,鹼土金屬,,,2018-12-17
3630397,alkaline earth metal group,鹼土金屬族,,,2018-12-17
3630398,alkaline fuel cell,鹼性燃料電池,,,2018-12-17
3630399,alkane,烷[烴],,20210126修訂,2021-01-26
3630400,alkyl benzenesulfonate,苯磺酸烷基酯,,,2018-12-17
3630401,alkyl group,烷基,,,2018-12-17
3630402,alkyl hydrogen sulfate,烷基硫酸氫酯,,,2018-12-17
3630403,alkylation,烷基化,,,2018-12-17
3630404,alkyne,炔[烴],,20210126修訂,2021-01-26
3630405,allotrope,同素異形體,,,2018-12-17
3630406,alloy,合金,,,2018-12-17
3630407,alloy steel,合金鋼　,,,2018-12-17
3630408,alum,明礬,,,2018-12-17
3630409,Alzheimer's disease,阿茲海默症,,,2018-12-17
3630410,amalgam,汞齊　,,,2018-12-17
3630411,amide bond,醯胺鍵,,,2018-12-17
3630412,amides,醯胺類,,,2018-12-17
3630413,amines,胺類,,,2018-12-17
3630414,amino acid,胺基酸,,,2018-12-17
3630415,amino acid sequence,胺基酸序列,,,2018-12-17
3630416,amino group,胺基,,,2018-12-17
3630417,ammonia,氨,,,2018-12-17
3630418,amorphous solid,非晶[形]固體,,,2018-12-17
3630419,amphetamine,安非他命,,,2018-12-17
3630420,ampholytic surfactant,兩性界面活性劑,,,2018-12-17
3630421,amphoteric,兩性的,,,2018-12-17
3630422,amphoteric compound,兩性化合物,,,2018-12-17
3630423,amphoteric element,兩性元素,,,2018-12-17
3630424,amphoteric hydroxide,兩性氫氧化物,,,2018-12-17
3630425,amphoteric surfactant,兩性界面活性劑,,,2018-12-17
3630426,amylase,澱粉酶,,,2018-12-17
3630427,amylopectin,分枝澱粉,,,2018-12-17
3630428,amylose,直鏈澱粉,,,2018-12-17
3630429,analgesic,止痛劑；鎮痛劑,,,2018-12-17
3630430,aniline,苯胺,,,2018-12-17
3630431,animal charcoal,骨炭,,,2018-12-17
3630432,animal fiber,動物纖維,,,2018-12-17
3630433,anion,陰離子；負離子,,,2018-12-17
3630434,anion exchange resin,陰離子交換樹脂,,,2018-12-17
3630435,anionic surfactant,陰離子界面活性劑,,,2018-12-17
3630436,anode,陽極,,,2018-12-17
3630437,anode compartment,陽極室,,,2018-12-17
3630438,antacid,制酸劑,,,2018-12-17
3630439,anthracene,蒽,,,2018-12-17
3630440,anti-knocking,抗震爆,,,2018-12-17
3630441,anti-oxidant,抗氧化劑,,,2018-12-17
3630442,antioxidant,抗氧化劑,,,2018-12-17
3630443,antibiotic,抗生素,,,2018-12-17
3630444,antiphlogistic,消炎劑　,,,2018-12-17
3630445,aqua,水,,,2018-12-17
3630446,aqua regia,王水　,,,2018-12-17
3630447,aqueous solution,水溶液,,,2018-12-17
3630448,arene,芳[族]烴,,,2018-12-17
3630449,arenes,芳烴類,,,2018-12-17
3630450,argentite,輝銀礦,,,2018-12-17
3630451,argon,氬,,,2018-12-17
3630452,Aristotle,亞里斯多德,,,2018-12-17
3630453,aromatic hydrocarbon,芳烴,,,2018-12-17
