ID,英文名稱,中文名稱,圖片,備註,更新日期
3634941,"Abel, Niels Hernik (1802-1829)",阿貝爾,,,2018-12-17
3634942,abscissa,橫坐標,,,2018-12-17
3634943,absolute deviation,絕對偏差,,,2018-12-17
3634944,absolute extremum,絕對極值,,,2018-12-17
3634945,absolute inequality,絕對不等式,,,2018-12-17
3634946,absolute maximum,最大值；絕對極大值,,,2018-12-17
3634947,absolute minimum,最小值；絕對極小值,,,2018-12-17
3634948,absolute value,絕對值,,,2018-12-17
3634949,absolutely extreme value,絕對極值,,,2018-12-17
3634950,acceleration,加速度,,,2018-12-17
3634951,acute angle,銳角,,,2018-12-17
3634952,addend,加數,,,2018-12-17
3634953,addition,加法,,,2018-12-17
3634954,addition formula,加法公式,,,2018-12-17
3634955,addition of vectors,向量加法,,,2018-12-17
3634956,addition principle,加法原理,,,2018-12-17
3634957,additive inverse,加法反元素,,,2018-12-17
3634958,adjacent side,鄰邊,,,2018-12-17
3634959,algebra,代數學；代數,,,2018-12-17
3634960,algorithm,演算法；算則,,,2018-12-17
3634961,amplitude,幅度；輻角,,,2018-12-17
3634962,amplitude of vibration,振幅,,,2018-12-17
3634963,analytic geometry,解析幾何[學],,,2018-12-17
3634964,angle,角,,,2018-12-17
3634965,angle in standard position,標準位置角,,,2018-12-17
3634966,angle of depression,俯角,,,2018-12-17
3634967,angle of elevation,仰角,,,2018-12-17
3634968,angle of inclination,傾角；斜角,,,2018-12-17
3634969,angular bisector,角平分線；分角線,,,2018-12-17
3634970,annual rate of interest,年利率,,,2018-12-17
3634971,antilogarithm,真數,,,2018-12-17
3634972,approximate value,近似值,,,2018-12-17
3634973,arc length,弧長,,,2018-12-17
3634974,area function,面積函數,,,2018-12-17
3634975,argument,輻角；自變數；論證,,,2018-12-17
3634976,arithmetic mean; arithmetic average,算術平均數；算術平均值；等差中項,,,2018-12-17
3634977,arithmetic progression,等差數列；算術數列,,,2018-12-17
3634978,arithmetic sequence,等差數列；算術數列,,,2018-12-17
3634979,arithmetic series,算術級數；等差級數,,,2018-12-17
3634980,arithmetic-geometric mean inequality,算幾不等式,,,2018-12-17
3634981,arrangement in ascending power,升冪排列；升次排列,,,2018-12-17
3634982,arrangement in descending power,降冪排列；降次排列,,,2018-12-17
3634983,ascending power,升冪,,,2018-12-17
3634984,associative law,結合律,,,2018-12-17
3634985,associative law of addition,加法結合律,,,2018-12-17
3634986,associative law of multiplication,乘法結合律,,,2018-12-17
3634987,asymptote,漸近線,,,2018-12-17
3634988,asymptotic line,漸近線,,,2018-12-17
3634989,augmented matrix,增廣矩陣,,,2018-12-17
3634990,average,平均,,,2018-12-17
3634991,average rate of change,平均變化率,,,2018-12-17
3634992,average velocity,平均速度,,,2018-12-17
3634993,axiom,公理；公設,,,2018-12-17
3634994,axiom of parallel,平行公設；平行公理,,,2018-12-17
3634995,axis,軸,,,2018-12-17
3634996,axis of abscissa,橫坐標軸,,,2018-12-17
3634997,axis of ordinate,縱坐標軸,,,2018-12-17
3634998,axis of symmetry,對稱軸,,,2018-12-17
3634999,azimuth,方位,,,2018-12-17
3635000,bar graph,長條圖,,,2018-12-17
3635001,base,底[邊]；基[數]；基底,,,2018-12-17
3635002,base number,底數,,,2018-12-17
3635003,Bayes theorem,貝氏定理,,,2018-12-17
3635004,Bernoulli trial,Bernoulli試探；Bernoulli試驗,,,2018-12-17
3635005,binomial,二項式,,,2018-12-17
3635006,binomial coefficient,二項式係數,,,2018-12-17
3635007,binomial distribution,二項分布；二項分配,,,2018-12-17
3635008,binomial theorem,二項式定理,,,2018-12-17
3635009,bisector of an angle,角平分線；分角線,,,2018-12-17
3635010,broken line graph,折線圖,,,2018-12-17
3635011,cancellation law of addition,加法消去律,,,2018-12-17
3635012,cancellation law of multiplication,乘法消去律,,,2018-12-17
3635013,capacity,容量,,,2018-12-17
3635014,Cartesian coordinates,笛卡兒坐標,,,2018-12-17
3635015,Cartesian product,笛卡兒積,,,2018-12-17
3635016,Cauchy inequality,柯西不等式,,,2018-12-17
3635017,census,普查,,,2018-12-17
3635018,center,中心,,,2018-12-17
3635019,center of circle,圓心,,,2018-12-17
3635020,center of sphere,球心,,,2018-12-17
3635021,centimeter,公分,,,2018-12-17
3635022,central angle,圓心角,,,2018-12-17
3635023,certain event,必然事件,,,2018-12-17
3635024,chain rule,連鎖律；連鎖規則,,,2018-12-17
3635025,characteristic,特徵的；特性的；示性的；特徵數；示性數,,,2018-12-17
3635026,characteristic of logarithm,對數的首數,,,2018-12-17
3635027,chord,弦,,,2018-12-17
3635028,circle,圓,,,2018-12-17
3635029,circle of Apollonius,Apollonius圓,,,2018-12-17
3635030,circular conical surface,圓錐面,,,2018-12-17
3635031,circular cylinder,圓柱,,,2018-12-17
3635032,circular measure,弧度法；弳量法,,,2018-12-17
3635033,circular permutation,環狀排列,,,2018-12-17
3635034,circulating decimal,循環小數,,,2018-12-17
3635035,circumference of circle,圓周,,,2018-12-17
3635036,circumradius,外接圓半徑,,,2018-12-17
3635037,class interval,類區間；組距,,,2018-12-17
3635038,class limit,組限；組距,,,2018-12-17
3635039,class midpoint,組中點,,,2018-12-17
3635040,clockwise,順時針的,,,2018-12-17
3635041,clockwise direction,順時針方向,,,2018-12-17
3635042,closed interval,閉區間,,,2018-12-17
3635043,closure property,封閉性,,,2018-12-17
3635044,cluster sampling,群落抽樣；群體抽樣,,,2018-12-17
3635045,codomain,對應域,,,2018-12-17
3635046,coefficient,係數,,,2018-12-17
3635047,cofactor,餘因子,,,2018-12-17
3635048,coincidence,重合,,,2018-12-17
3635049,column,行,,,2018-12-17
3635050,column matrix,行矩陣,,,2018-12-17
3635051,combination,組合；配合,,,2018-12-17
3635052,common difference,公差,,,2018-12-17
3635053,common factor,公因子；公因數；公因式,,,2018-12-17
3635054,common logarithm,常用對數,,,2018-12-17
3635055,common multiple,公倍數；公倍式,,,2018-12-17
3635056,common ratio,公比,,,2018-12-17
3635057,commutative law,交換律,,,2018-12-17
3635058,commutative law of addition,加法交換律,,,2018-12-17
3635059,commutative law of multiplication,乘法交換律,,,2018-12-17
3635060,complement,餘；補；補碼；補數；餘補,,,2018-12-17
3635061,complement angle；complementary angle,餘角,,,2018-12-17
3635062,complement identity,餘角恆等式,,,2018-12-17
3635063,complement relation,餘角關係[式],,,2018-12-17
3635064,complementary event,餘事件,,,2018-12-17
3635065,complementary set,餘集[合],,,2018-12-17
3635066,completing the square,配方[法],,,2018-12-17
3635067,complex conjugate,共軛複數,,,2018-12-17
3635068,complex fraction,繁分數；繁分式,,,2018-12-17
3635069,complex number,複數,,,2018-12-17
3635070,complex plane,複數平面,,,2018-12-17
3635071,component,分量；連通[分]支；連通區,,,2018-12-17
3635072,composite function,合成函數,,,2018-12-17
3635073,composite number,合數,,,2018-12-17
3635074,compound interest,複利,,,2018-12-17
3635075,compound number,複名數,,,2018-12-17
3635076,concave downward,凹口向下,,,2018-12-17
3635077,concave upward,凹口向上,,,2018-12-17
3635078,concavity,凹性,,,2018-12-17
3635079,conditional inequality,條件不等式,,,2018-12-17
3635080,conditional probability,條件機率,,,2018-12-17
3635081,cone,錐；錐面,,,2018-12-17
3635082,confidence interval,信賴區間,,,2018-12-17
3635083,confidence level,信心水準,,,2018-12-17
3635084,congruence,同餘；疊合；全等；線匯,,,2018-12-17
3635085,conic section,圓錐截痕,,,2018-12-17
3635086,conjugate axis,共軛軸,,,2018-12-17
3635087,conjugate complex number,共軛複數,,,2018-12-17
