ID,英文名稱,中文名稱,圖片,修訂日期,更新日期
3167092,absolute pressure,絕對壓[強]；絕對壓[力],,,2017-07-24
3167093,absolute temperature,絕對溫度,,,2017-07-24
3167094,absolute zero,絕對零度,,,2017-07-24
3167095,absorption spectrum,吸收譜,,,2017-07-24
3167096,accelerated motion,加速[度]運動,,,2017-07-24
3167097,acceleration,加速度,,,2017-07-24
3167098,acceleration of gravity,重力加速度,,,2017-07-24
3167099,acoustics,聲學,,,2017-07-24
3167100,action,作用；作用力；作用量,,,2017-07-24
3167101,action at a distance,超距力 ； 超距作用,,,2017-07-24
3167102,adhesive force,附著力,,,2017-07-24
3167103,adiabatic process,絕熱過程；緩漸過程,,,2017-07-24
3167104,alpha decay,α衰變；阿爾發衰變,,,2017-07-24
3167105,ammeter,安培計,,,2017-07-24
3167106,ampere,安培,,,2017-07-24
3167107,amplitude,振幅；幅,,,2017-07-24
3167108,Andromeda galaxy,仙女座星系,,,2017-07-24
3167109,angular acceleration,角加速度,,,2017-07-24
3167110,angular displacement,角移,,,2017-07-24
3167111,angular frequency,角頻[率],,,2017-07-24
3167112,angular momentum,角動量,,,2017-07-24
3167113,angular resolution,角分辨度,,,2017-07-24
3167114,angular velocity,角速度,,,2017-07-24
3167115,annihilation,消滅,,,2017-07-24
3167116,anode,陽極,,,2017-07-24
3167117,antineutrino,反微中子；反中微子,,,2017-07-24
3167118,antinode,[波]腹,,,2017-07-24
3167119,antiparticle,反粒子,,,2017-07-24
3167120,aperture,孔；孔徑,,,2017-07-24
3167121,aperture stop,孔徑光闌,,,2017-07-24
3167122,apparent brightness,視亮度,,,2017-07-24
3167123,Archimedes principle,阿基米德原理,,,2017-07-24
3167124,arm of force,力臂,,,2017-07-24
3167125,astronomical unit｛=AU｝,天文單位,,,2017-07-24
3167126,atmospheric pressure,大氣壓強；大氣壓,,,2017-07-24
3167127,atom,原子,,,2017-07-24
3167128,atomic clock,原子鐘,,,2017-07-24
3167129,atomic mass number,原子質量數,,,2017-07-24
3167130,atomic nucleus,原子核,,,2017-07-24
3167131,atomic number,原子序,,,2017-07-24
3167132,attraction,吸引；引力,,,2017-07-24
3167133,Atwood's machine,阿特午機,,,2017-07-24
3167134,AU｛astronomical unit｝,天文單位,,,2017-07-24
3167135,audible frequency,可聽頻率,,,2017-07-24
3167136,aurora,極光,,,2017-07-24
3167137,average acceleration,平均加速度,,,2017-07-24
3167138,average power,平均功率,,,2017-07-24
3167139,average speed,平均速率,,20210616修訂,2021-06-16
3167140,average velocity,平均速度,,,2017-07-24
3167141,background radiation,背景輻射,,,2017-07-24
3167142,ballistic pendulum,衝擊擺,,,2017-07-24
3167143,ballistic transport,無礙傳輸,,,2017-07-24
3167144,Balmer series,巴耳末系,,,2017-07-24
3167145,bar,巴{壓強單位},,,2017-07-24
3167146,barometer,氣壓計,,,2017-07-24
3167147,barred spiral galaxy,棒狀旋星系,,,2017-07-24
3167148,base,基極,,,2017-07-24
3167149,beta decay,β衰變；貝他衰變,,,2017-07-24
3167150,big bang theory,霹靂說；大霹靂理論,,,2017-07-24
3167151,binding energy,結合能；束縛能,,,2017-07-24
3167152,Biot-Savart law,必歐-沙伐定律,,,2017-07-24
3167153,black body radiation,黑體輻射,,,2017-07-24
3167154,blue shift,藍位移,,,2017-07-24
3167155,Bohr radius,波耳半徑,,,2017-07-24
3167156,boiling point,沸點,,,2017-07-24
3167157,bow wave,頭波,,,2017-07-24
3167158,Boyle's law,波以耳定律,,,2017-07-24
3167159,Brackett series,布拉克系,,,2017-07-24
3167160,Bragg angle,布拉格角,,,2017-07-24
3167161,Bragg's law,布拉格定律,,,2017-07-24
3167162,braking radiation,制動輻射,,,2017-07-24
3167163,Brownian motion,布朗運動,,,2017-07-24
3167164,candela,燭光 { 亮度單位},,,2017-07-24
3167165,capacitance,電容,,,2017-07-24
3167166,capacitor,電容[器],,,2017-07-24
3167167,capillarity,毛細作用；毛細現象,,,2017-07-24
3167168,capillary tube,毛細管,,,2017-07-24
3167169,carbon dioxide laser,二氧化碳雷射,,,2017-07-24
3167170,carrier,載子,,,2017-07-24
3167171,Cassegrain telescope,卡士格冉望遠鏡,,,2017-07-24
3167172,cathode,陰極；負極,,,2017-07-24
3167173,cathode ray,陰極射線,,,2017-07-24
3167174,cathode ray tube,陰極射線管,,,2017-07-24
3167175,cavity,[空]腔,,,2017-07-24
3167176,CCD｛charge-coupled device｝,電荷耦合元件,,,2017-07-24
3167177,celestial sphere,天球,,,2017-07-24
3167178,Celsius degree,攝[氏]度,,,2017-07-24
3167179,Celsius scale,攝氏溫標,,,2017-07-24
3167180,Celsius temperature scale,攝氏溫標,,,2017-07-24
3167181,center of curvature,曲率中心,,,2017-07-24
3167182,center of gravity,重心,,,2017-07-24
3167183,center of mass,質心,,,2017-07-24
3167184,centimeter,公分；厘米,,,2017-07-24
3167185,central processing unit{=CPU},中央處理器,,,2017-07-24
3167186,centripetal acceleration,向心加速度,,,2017-07-24
3167187,centripetal force,向心力,,,2017-07-24
3167188,chain reaction,連鎖反應,,,2017-07-24
3167189,channel,頻道；通道,,,2017-07-24
3167190,characteristic spectrum,特徵光譜,,,2017-07-24
3167191,charge,[電]荷,,,2017-07-24
3167192,charge-coupled device｛=CCD｝,電荷耦合元件,,,2017-07-24
3167193,Charles' law,查爾斯定律,,,2017-07-24
3167194,charm,魅數,,,2017-07-24
3167195,chip,晶片,,,2017-07-24
3167196,cholesteric liquid crystal,膽固醇型液晶,,,2017-07-24
3167197,chromatic dispersion,色散,,,2017-07-24
3167198,circular frequency,圓頻[率],,,2017-07-24
3167199,cladding,包覆層,,,2017-07-24
3167200,classical mechanics,古典力學,,,2017-07-24
3167201,classical physics,古典物理[學],,,2017-07-24
3167202,closed circuit,閉路,,,2017-07-24
3167203,cluster,團；集團；星團；星系團,,,2017-07-24
3167204,cobalt,鈷,,,2017-07-24
3167205,coefficient of kinetic friction,動摩擦係數,,,2017-07-24
3167206,coefficient of linear expansion,線膨脹係數,,,2017-07-24
3167207,coefficient of restitution,恢復係數,,,2017-07-24
3167208,coefficient of static friction,靜摩擦係數,,,2017-07-24
3167209,cohesive force,內聚力,,,2017-07-24
3167210,collector,集[電]極；集流器,,,2017-07-24
3167211,collision,碰撞,,,2017-07-24
3167212,commutator,交換子；交換算符；對易算符；換向器,,,2017-07-24
3167213,component,分量,,,2017-07-24
