ID,英文名稱,中文名稱,圖片,備註,更新日期
3635736,absolute path,絕對路徑,,,2018-12-17
3635737,access point{=AP},接取器；（無線）存取點；（無線）分享器,,,2018-12-17
3635738,accessibility,可接取性；可存取性；取用權；無障礙性,,,2018-12-17
3635739,accuracy,準確度；正確性；精確度,,,2018-12-17
3635740,active server pages{=ASP},主動伺服器網頁；ASP 軟體技術,,,2018-12-17
3635741,adder,加法器,,,2018-12-17
3635742,addiction,成癮；沉迷,,,2018-12-17
3635743,address,位址,,,2018-12-17
3635744,address bus,位址匯流排,,,2018-12-17
3635745,addressing,定址,,,2018-12-17
3635746,Advanced Research Project Agency{=ARPA},（美國國防部）先進研究計畫局,,,2018-12-17
3635747,algorithm,演算法,,,2018-12-17
3635748,all in one motherboard,一機成型主機板,,,2018-12-17
3635749,alphanumeric data,文數字資料,,,2018-12-17
3635750,American Memory,美國記憶（公司）,,,2018-12-17
3635751,American National Standards Institute{=ANSI},美國國家標準協會,,,2018-12-17
3635752,American Standard Code for Information Interchange{=ASCII},美國資訊交換標準碼,,,2018-12-17
3635753,analog,類比,,,2018-12-17
3635754,analog signal,類比信號,,,2018-12-17
3635755,analog to digital converter{=ADC},類比數位轉換器,,,2018-12-17
3635756,analog TV,類比電視,,,2018-12-17
3635757,AND,及；與,,,2018-12-17
3635758,AND gate,及閘；與閘,,,2018-12-17
3635759,Android OS,Android 作業系統；安卓作業系統,,,2018-12-17
3635760,antivirus software,防毒軟體,,,2018-12-17
3635761,Apache,Apache 伺服器,,,2018-12-17
3635762,APPLE Ⅱ,APPLE Ⅱ電腦,,,2018-12-17
3635763,application,應用(軟體)；應用(系統),,,2018-12-17
3635764,application layer,應用層,,,2018-12-17
3635765,application service provider{=ASP},應用服務提供者,,,2018-12-17
3635766,application software,應用軟體,,,2018-12-17
3635767,arithmetic and logic unit{=ALU},算術與邏輯單元,,,2018-12-17
3635768,ARPANet,ARPANET 網路,,,2018-12-17
3635769,array,陣列,,,2018-12-17
3635770,artificial intelligence{=AI},人工智慧,,,2018-12-17
3635771,ASP.NET,ASP.NET 網頁開發模型,,,2018-12-17
3635772,assembler,組譯器；組合程式,,,2018-12-17
3635773,assembly language,組合語言,,,2018-12-17
3635774,assignment statement,指定敘述,,,2018-12-17
3635775,assisted global position system{=AGPS},輔助全球定位系統,,,2018-12-17
3635776,assisted global positioning system{=AGPS},輔助全球定位系統,,,2018-12-17
3635777,Association for Computing Machinery{=ACM},（美國）計算機協會,,,2018-12-17
3635778,asymmetric digital subscriber line{=ADSL},非對稱數位用戶線,,,2018-12-17
3635779,asymmetric digital subscriber loop{=ADSL},非對稱數位用戶迴路,,,2018-12-17
3635780,asynchronous transfer mode{=ATM},非同步傳輸模式,,,2018-12-17
3635781,attacker,攻擊者,,,2018-12-17
3635782,attribution,歸因,,,2018-12-17
3635783,audio track,音軌；聲頻磁軌,,,2018-12-17
3635784,authentication,鑑別；鑑定；鑑認,,,2018-12-17
3635785,automated teller machine{=ATM},自動提款機；自動櫃員機；自動取款機,,,2018-12-17
3635786,auxiliary memory,輔助記憶體,,,2018-12-17
3635787,availability,可用率；可用性,,,2018-12-17
3635788,backbone,骨幹；基幹,,,2018-12-17
3635789,backtracking,回溯；回溯法,,,2018-12-17
3635790,bandwidth,頻寬；帶寬,,,2018-12-17
3635791,barcode,條碼,,,2018-12-17
3635792,barcode reader{=BCR},條碼讀取器,,,2018-12-17
3635793,barebone,準系統；陽春系統,,,2018-12-17
3635794,base,基；基數；基底,,,2018-12-17
3635795,basic input/output system{=BIOS},基本輸出入系統,,,2018-12-17
3635796,Big-5 code{=BIG-5},大五碼；Big-5 碼,,,2018-12-17
3635797,binary digit{=bit},二進位元；位元,,,2018-12-17
3635798,binary number system,二進位數字系統,,,2018-12-17
3635799,binary search,二元搜尋,,,2018-12-17
